HoleID,Easting,Northing,Elevation,Length_m,HoleType,Prospect,Year
BX20-001,10111.46,20127.58,455.59,279.0,DD,MAIN,2020
BX20-002,10158.44,20119.55,454.48,233.0,DD,MAIN,2021
BX20-003,10203.89,20122.17,452.93,308.0,DD,MAIN,2022
BX20-004,10254.08,20125.81,451.03,146.0,DD,MAIN,2023
BX20-005,10277.20,20119.64,450.33,214.0,DD,MAIN,2024
BX20-006,10312.46,20123.46,448.85,164.0,DD,MAIN,2020
BX20-007,10367.93,20118.20,446.79,214.0,DD,NORTH,2021
BX20-008,10399.05,20122.70,445.42,158.0,DD,NORTH,2022
BX20-009,10439.51,20130.35,443.62,239.0,DD,NORTH,2023
BX20-010,10484.66,20124.97,442.05,248.0,DD,NORTH,2024
BX20-011,10111.53,20178.25,454.26,229.0,DD,MAIN,2020
BX20-012,10156.05,20167.63,453.26,246.0,DD,MAIN,2021
BX20-013,10199.22,20182.62,451.49,300.0,DD,MAIN,2022
BX20-014,10239.60,20168.35,450.43,287.0,DD,MAIN,2023
BX20-015,10280.37,20175.43,448.72,176.0,DD,MAIN,2024
BX20-016,10321.66,20178.18,447.04,155.0,DD,MAIN,2020
BX20-017,10363.71,20170.23,445.57,281.0,DD,NORTH,2021
BX20-018,10401.60,20167.43,444.13,227.0,DD,NORTH,2022
BX20-019,10442.84,20172.51,442.38,172.0,DD,NORTH,2023
BX20-020,10470.16,20169.86,441.40,262.0,DD,NORTH,2024
BX21-021,10123.90,20221.67,452.93,134.0,DD,MAIN,2020
BX21-022,10153.43,20230.04,451.90,242.0,DD,MAIN,2021
BX21-023,10193.61,20228.91,450.64,188.0,DD,MAIN,2022
BX21-024,10235.11,20232.32,449.12,141.0,DD,MAIN,2023
BX21-025,10275.79,20219.23,447.88,256.0,DD,MAIN,2024
BX21-026,10316.57,20230.00,446.07,173.0,DD,MAIN,2020
BX21-027,10364.49,20235.89,444.04,121.0,DD,NORTH,2021
BX21-028,10402.81,20235.34,442.52,245.0,DD,NORTH,2022
BX21-029,10439.63,20227.84,441.23,313.0,DD,NORTH,2023
BX21-030,10474.21,20232.16,439.82,152.0,DD,NORTH,2024
BX21-031,10119.07,20291.38,451.80,205.0,DD,MAIN,2020
BX21-032,10148.88,20284.25,451.06,186.0,DD,MAIN,2021
BX21-033,10201.21,20282.43,449.41,188.0,DD,MAIN,2022
BX21-034,10239.41,20289.88,447.95,125.0,DD,MAIN,2023
BX21-035,10284.69,20293.72,446.19,177.0,DD,MAIN,2024
BX21-036,10316.08,20280.13,445.17,195.0,DD,MAIN,2020
BX21-037,10366.95,20286.80,443.04,316.0,DD,NORTH,2021
BX21-038,10400.21,20288.28,441.69,216.0,DD,NORTH,2022
BX21-039,10428.15,20282.45,440.68,308.0,DD,NORTH,2023
BX21-040,10479.05,20283.48,438.71,189.0,DD,NORTH,2024
BX22-041,10121.69,20336.26,451.18,315.0,DD,MAIN,2020
BX22-042,10165.05,20335.34,449.91,307.0,DD,MAIN,2021
BX22-043,10195.96,20347.48,448.80,131.0,DD,MAIN,2022
BX22-044,10241.05,20339.82,447.28,281.0,DD,MAIN,2023
BX22-045,10281.34,20350.57,445.68,215.0,DD,MAIN,2024
BX22-046,10323.77,20343.61,444.08,259.0,DD,MAIN,2020
BX22-047,10356.83,20340.27,442.79,261.0,DD,NORTH,2021
BX22-048,10392.62,20334.70,441.42,223.0,DD,NORTH,2022
BX22-049,10442.24,20339.85,439.41,242.0,DD,NORTH,2023
BX22-050,10475.67,20346.72,438.08,220.0,DD,NORTH,2024
BX22-051,10119.51,20400.62,450.84,128.0,DD,MAIN,2020
BX22-052,10162.44,20394.70,449.61,124.0,DD,MAIN,2021
BX22-053,10201.08,20403.38,448.33,140.0,DD,MAIN,2022
BX22-054,10239.83,20403.23,446.96,250.0,DD,MAIN,2023
BX22-055,10282.28,20399.53,445.38,259.0,DD,MAIN,2024
BX22-056,10332.90,20394.10,443.41,145.0,DD,MAIN,2020
BX22-057,10365.27,20396.35,442.11,204.0,DD,NORTH,2021
BX22-058,10401.36,20399.12,440.67,243.0,DD,NORTH,2022
BX22-059,10441.30,20389.21,439.13,295.0,DD,NORTH,2023
BX22-060,10475.61,20399.42,437.79,126.0,DD,NORTH,2024
