holeid,from,to,Code
BX20-001,0.00,34.48,VOLC
BX20-001,34.48,50.73,VOLC
BX20-001,50.73,64.48,BZTF
BX20-001,64.48,75.97,BZPZ
BX20-001,75.97,95.62,BZTF
BX20-001,95.62,116.81,SDST
BX20-001,116.81,144.04,BZTF
BX20-001,144.04,153.44,TSBF
BX20-001,153.44,166.01,SDST
BX20-001,166.01,178.73,MDST
BX20-001,178.73,196.75,TSBF
BX20-001,196.75,208.04,SDST
BX20-001,208.04,237.71,SDST
BX20-001,237.71,270.07,TSBF
BX20-001,270.07,279.00,BZTF
BX20-002,0.00,17.81,VOLC
BX20-002,17.81,49.64,BZPZ
BX20-002,49.64,68.05,VOLC
BX20-002,68.05,93.72,BZTF
BX20-002,93.72,107.69,QFP
BX20-002,107.69,123.64,BZPZ
BX20-002,123.64,157.20,TSBF
BX20-002,157.20,174.21,TSBF
BX20-002,174.21,200.91,SDST
BX20-002,200.91,226.90,MDST
BX20-002,226.90,233.00,SDST
BX20-003,0.00,20.48,BZTF
BX20-003,20.48,39.22,VOLC
BX20-003,39.22,62.55,BZTF
BX20-003,62.55,86.87,BZTF
BX20-003,86.87,114.82,BZTF
BX20-003,114.82,138.29,MDST
BX20-003,138.29,157.55,MDST
BX20-003,157.55,173.75,TSBF
BX20-003,173.75,199.80,TSBF
BX20-003,199.80,214.62,SDST
BX20-003,214.62,244.58,SDST
BX20-003,244.58,263.17,TSBF
BX20-003,263.17,290.45,MDST
BX20-003,290.45,308.00,MDST
BX20-004,0.00,31.25,BZTF
BX20-004,31.25,43.16,VOLC
BX20-004,43.16,66.40,BZPZ
BX20-004,66.40,84.59,BZTF
BX20-004,84.59,109.64,BZPZ
BX20-004,109.64,120.97,QFP
BX20-004,120.97,144.78,DIOR
BX20-004,144.78,146.00,QFP
BX20-005,0.00,27.17,BZPZ
BX20-005,27.17,44.74,BZTF
BX20-005,44.74,56.60,VOLC
BX20-005,56.60,74.62,BZTF
BX20-005,74.62,108.48,BZTF
