HoleID,From_m,To_m,Zn_pct,Pb_pct,Ag_ppm,BD_tonnes_m3,LowRecovery_<=85pct
BX20-001,0.00,1.50,0.251,0.010,3.5,2.631,N
BX20-001,1.50,2.50,0.197,0.099,0.7,2.610,N
BX20-001,2.50,4.50,0.445,0.120,2.0,2.638,N
BX20-001,4.50,5.50,0.147,0.054,0.5,2.596,N
BX20-001,5.50,7.50,0.291,0.117,5.7,2.660,N
BX20-001,7.50,8.50,0.297,0.025,0.5,2.596,N
BX20-001,8.50,9.50,0.020,0.010,0.5,2.620,N
BX20-001,9.50,11.00,0.635,0.323,5.5,2.666,N
BX20-001,11.00,12.00,0.580,0.248,3.0,2.649,N
BX20-001,12.00,13.00,0.020,0.039,3.6,2.654,N
BX20-001,13.00,14.00,0.020,0.010,0.5,2.602,N
BX20-001,14.00,15.00,0.952,0.493,3.7,2.668,N
BX20-001,15.00,16.00,0.020,0.010,0.5,2.624,N
BX20-001,16.00,17.00,0.761,0.258,4.1,2.666,N
BX20-001,17.00,18.00,0.233,0.010,0.5,2.656,N
BX20-001,18.00,19.50,0.020,0.067,1.3,2.615,Y
BX20-001,19.50,21.50,0.181,0.230,0.5,2.609,N
BX20-001,21.50,23.50,0.367,0.114,4.2,2.619,N
BX20-001,23.50,25.50,0.020,0.127,0.5,2.583,Y
BX20-001,25.50,26.50,0.834,0.334,4.0,2.711,N
BX20-001,26.50,28.00,0.627,0.325,4.8,2.615,N
BX20-001,28.00,29.50,0.234,0.010,1.5,2.663,N
BX20-001,29.50,30.50,0.217,0.010,1.4,2.629,N
BX20-001,30.50,31.50,0.189,0.022,0.9,2.639,N
BX20-001,31.50,32.50,0.020,0.010,0.5,2.610,N
BX20-001,32.50,33.50,0.020,0.010,2.0,2.656,N
BX20-001,33.50,35.00,0.151,0.098,0.5,2.589,N
BX20-001,35.00,36.00,0.166,0.010,0.5,2.610,N
BX20-001,36.00,38.00,0.631,0.010,0.7,2.640,N
BX20-001,38.00,39.00,0.722,0.418,3.5,2.634,N
BX20-001,39.00,40.00,0.080,0.030,0.5,2.613,N
BX20-001,40.00,41.50,0.020,0.010,0.5,2.612,N
BX20-001,41.50,43.50,0.020,0.010,2.2,2.615,N
BX20-001,43.50,44.50,0.020,0.079,0.5,2.632,N
BX20-001,44.50,46.50,0.920,0.445,3.8,2.641,N
BX20-001,46.50,48.00,0.373,0.130,2.6,2.590,N
BX20-001,48.00,50.00,0.308,0.273,3.3,2.640,N
BX20-001,50.00,51.00,0.120,0.023,0.9,2.641,N
BX20-001,51.00,52.00,0.891,0.210,2.1,2.684,N
BX20-001,52.00,53.50,0.081,0.010,2.0,2.642,N
BX20-001,53.50,54.50,0.315,0.191,1.2,2.655,N
BX20-001,54.50,55.50,0.020,0.175,0.7,2.577,N
BX20-001,55.50,56.50,0.020,0.028,1.5,2.662,N
BX20-001,56.50,58.50,0.768,0.365,7.1,2.657,N
BX20-001,58.50,60.50,0.020,0.048,0.5,2.589,N
BX20-001,60.50,61.50,0.402,0.076,4.7,2.644,N
BX20-001,61.50,62.50,0.020,0.010,0.5,2.630,N
BX20-001,62.50,63.50,0.442,0.059,3.6,2.642,N
BX20-001,63.50,65.00,0.660,0.154,3.1,2.656,N
BX20-001,65.00,67.00,0.020,0.137,3.6,2.680,N
BX20-001,67.00,68.00,0.020,0.010,0.7,2.617,N
BX20-001,68.00,69.00,0.020,0.010,0.5,2.608,N
BX20-001,69.00,70.50,0.020,0.010,0.5,2.615,N
BX20-001,70.50,71.50,0.050,0.025,1.0,2.614,N
BX20-001,71.50,73.50,0.246,0.157,3.2,2.628,N
BX20-001,73.50,74.50,0.020,0.010,0.5,2.620,N
BX20-001,74.50,76.00,0.472,0.147,2.5,2.605,N
BX20-001,76.00,77.00,0.020,0.066,0.5,2.611,N
BX20-001,77.00,78.00,0.696,0.274,5.1,2.691,N
BX20-001,78.00,79.00,0.020,0.010,1.4,2.584,N
BX20-001,79.00,80.50,0.465,0.129,4.6,2.662,N
BX20-001,80.50,82.00,0.020,0.207,0.5,2.591,N
BX20-001,82.00,83.00,0.139,0.010,0.5,2.671,N
BX20-001,83.00,84.00,0.187,0.010,0.5,2.637,N
BX20-001,84.00,85.00,0.020,0.010,3.0,2.653,N
BX20-001,85.00,86.50,0.020,0.208,0.5,2.691,N
BX20-001,86.50,87.50,0.020,0.209,0.5,2.667,N
BX20-001,87.50,89.00,0.208,0.049,3.1,2.624,N
BX20-001,89.00,90.00,0.020,0.010,0.9,2.605,N
BX20-001,90.00,91.50,0.020,0.061,1.3,2.679,N
BX20-001,91.50,93.50,0.165,0.010,0.9,2.588,N
BX20-001,93.50,94.50,0.020,0.010,1.0,2.629,N
BX20-001,94.50,95.50,0.500,0.177,3.6,2.650,N
BX20-001,95.50,96.50,0.020,0.010,0.5,2.643,N
BX20-001,96.50,98.50,0.099,0.010,0.5,2.621,N
BX20-001,98.50,99.50,0.062,0.010,3.3,2.680,N
BX20-001,99.50,101.00,0.020,0.010,1.6,2.580,N
BX20-001,101.00,102.00,0.411,0.010,0.9,2.638,N
BX20-001,102.00,103.00,0.056,0.091,1.2,2.596,N
BX20-001,103.00,105.00,0.020,0.010,1.5,2.629,N
BX20-001,105.00,107.00,0.275,0.037,0.5,2.671,N
BX20-001,107.00,108.50,0.020,0.010,0.5,2.642,N
BX20-001,108.50,109.50,0.021,0.010,0.5,2.583,N
BX20-001,109.50,110.50,0.020,0.010,0.5,2.603,N
BX20-001,110.50,112.00,0.175,0.306,1.4,2.696,N
BX20-001,112.00,114.00,0.020,0.010,0.5,2.639,N
BX20-001,114.00,115.00,0.020,0.010,0.5,2.616,N
BX20-001,115.00,116.00,0.418,0.077,1.1,2.568,N
BX20-001,116.00,117.00,0.318,0.021,3.7,2.660,N
BX20-001,117.00,118.50,0.020,0.111,2.3,2.633,N
BX20-001,118.50,119.50,0.487,0.323,1.7,2.675,N
BX20-001,119.50,121.00,0.020,0.010,0.5,2.650,N
BX20-001,121.00,123.00,0.261,0.045,4.3,2.684,N
BX20-001,123.00,124.00,0.020,0.010,5.5,2.605,N
BX20-001,124.00,125.00,0.051,0.083,0.5,2.626,N
BX20-001,125.00,126.50,0.667,0.411,4.2,2.658,N
BX20-001,126.50,127.50,0.889,0.322,6.6,2.663,N
BX20-001,127.50,128.50,0.020,0.058,0.5,2.635,N
BX20-001,128.50,130.00,0.250,0.120,1.3,2.650,Y
BX20-001,130.00,131.50,0.020,0.010,2.1,2.612,N
BX20-001,131.50,132.50,0.554,0.281,2.6,2.713,N
BX20-001,132.50,134.00,0.751,0.290,5.9,2.695,N
BX20-001,134.00,135.00,0.362,0.012,0.5,2.633,N
BX20-001,135.00,137.00,0.456,0.127,4.0,2.587,N
BX20-001,137.00,138.00,0.203,0.025,0.5,2.586,N
BX20-001,138.00,140.00,0.020,0.177,0.5,2.643,N
BX20-001,140.00,141.00,0.415,0.010,4.7,2.651,N
BX20-001,141.00,142.00,0.020,0.044,0.5,2.598,N
BX20-001,142.00,143.00,0.023,0.065,2.1,2.567,N
BX20-001,143.00,145.00,0.337,0.147,2.2,2.609,N
BX20-001,145.00,147.00,0.627,0.206,2.2,2.682,Y
BX20-001,147.00,148.00,0.098,0.010,0.6,2.605,N
BX20-001,148.00,149.00,0.382,0.165,2.2,2.684,N
BX20-001,149.00,151.00,0.305,0.079,0.5,2.653,N
BX20-001,151.00,152.00,0.370,0.010,2.0,2.650,N
BX20-001,152.00,153.00,0.122,0.010,0.5,2.607,N
BX20-001,153.00,155.00,0.052,0.010,0.5,2.581,N
BX20-001,155.00,157.00,0.020,0.010,0.5,2.679,N
BX20-001,157.00,158.00,0.020,0.160,3.9,2.652,N
BX20-001,158.00,159.00,0.238,0.077,0.7,2.636,N
BX20-001,159.00,160.00,0.020,0.232,1.6,2.616,N
BX20-001,160.00,161.50,0.624,0.367,1.6,2.637,N
BX20-001,161.50,163.50,0.049,0.038,0.5,2.590,N
BX20-001,163.50,164.50,0.206,0.263,2.4,2.627,N
BX20-001,164.50,166.00,0.213,0.031,1.9,2.597,N
BX20-001,166.00,167.00,0.020,0.010,0.5,2.627,N
BX20-001,167.00,169.00,0.020,0.010,0.5,2.591,N
BX20-001,169.00,171.00,0.020,0.010,5.1,2.612,N
BX20-001,171.00,173.00,0.444,0.088,0.5,2.681,N
BX20-001,173.00,175.00,0.020,0.010,0.5,2.574,N
BX20-001,175.00,176.50,0.634,0.330,1.6,2.653,N
BX20-001,176.50,178.00,0.031,0.010,0.5,2.674,N
BX20-001,178.00,179.00,0.403,0.072,0.8,2.642,N
BX20-001,179.00,180.00,0.020,0.010,2.5,2.599,N
BX20-001,180.00,181.50,0.020,0.010,0.5,2.611,N
BX20-001,181.50,182.50,0.815,0.010,2.6,2.666,Y
BX20-001,182.50,184.50,0.020,0.267,0.5,2.640,N
BX20-001,184.50,186.50,0.372,0.118,3.7,2.681,N
BX20-001,186.50,187.50,0.020,0.010,0.5,2.595,N
BX20-001,187.50,188.50,0.020,0.010,0.5,2.665,N
BX20-001,188.50,189.50,0.141,0.127,1.9,2.563,N
BX20-001,189.50,190.50,0.020,0.010,0.5,2.630,N
BX20-001,190.50,192.00,0.020,0.010,0.5,2.600,N
BX20-001,192.00,193.00,0.081,0.174,0.5,2.662,N
BX20-001,193.00,194.00,0.056,0.010,0.5,2.588,N
BX20-001,194.00,195.50,0.106,0.010,2.9,2.603,N
BX20-001,195.50,196.50,0.020,0.010,1.7,2.631,N
BX20-001,196.50,198.50,0.020,0.010,2.0,2.632,N
BX20-001,198.50,200.50,0.020,0.127,0.5,2.599,N
BX20-001,200.50,202.50,0.264,0.047,0.5,2.631,N
BX20-001,202.50,204.00,0.452,0.170,1.2,2.632,N
BX20-001,204.00,206.00,0.020,0.010,0.5,2.584,N
BX20-001,206.00,208.00,0.020,0.255,1.1,2.638,N
BX20-001,208.00,209.00,0.020,0.010,1.2,2.636,N
BX20-001,209.00,210.00,0.480,0.270,5.1,2.656,N
BX20-001,210.00,211.00,0.020,0.103,0.5,2.664,N
BX20-001,211.00,212.00,0.020,0.087,0.6,2.593,N
BX20-001,212.00,214.00,0.384,0.108,2.7,2.627,N
