"HoleID","Depth_m","Dip","Azimuth"
"BX20-001","0.00","-90.00","0.00"
"BX20-001","50.00","-89.40","0.80"
"BX20-001","100.00","-88.80","1.60"
"BX20-001","150.00","-88.20","2.40"
"BX20-001","200.00","-87.60","3.20"
"BX20-001","250.00","-87.00","4.00"
"BX20-001","279.00","-86.40","4.80"
"BX20-002","0.00","-60.00","90.00"
"BX20-002","50.00","-59.40","90.80"
"BX20-002","100.00","-58.80","91.60"
"BX20-002","150.00","-58.20","92.40"
"BX20-002","200.00","-57.60","93.20"
"BX20-002","233.00","-57.00","94.00"
"BX20-003","0.00","-65.00","270.00"
"BX20-003","50.00","-64.40","270.80"
"BX20-003","100.00","-63.80","271.60"
"BX20-003","150.00","-63.20","272.40"
"BX20-003","200.00","-62.60","273.20"
"BX20-003","250.00","-62.00","274.00"
"BX20-003","300.00","-61.40","274.80"
"BX20-003","308.00","-60.80","275.60"
"BX20-004","0.00","-65.00","0.00"
"BX20-004","50.00","-64.40","0.80"
"BX20-004","100.00","-63.80","1.60"
"BX20-004","146.00","-63.20","2.40"
"BX20-005","0.00","-90.00","0.00"
"BX20-005","50.00","-89.40","0.80"
"BX20-005","100.00","-88.80","1.60"
"BX20-005","150.00","-88.20","2.40"
"BX20-005","200.00","-87.60","3.20"
"BX20-005","214.00","-87.00","4.00"
"BX20-006","0.00","-65.00","0.00"
"BX20-006","50.00","-64.40","0.80"
"BX20-006","100.00","-63.80","1.60"
"BX20-006","150.00","-63.20","2.40"
"BX20-006","164.00","-62.60","3.20"
"BX20-007","0.00","-65.00","270.00"
"BX20-007","50.00","-64.40","270.80"
"BX20-007","100.00","-63.80","271.60"
"BX20-007","150.00","-63.20","272.40"
"BX20-007","200.00","-62.60","273.20"
"BX20-007","214.00","-62.00","274.00"
"BX20-008","0.00","-75.00","270.00"
"BX20-008","50.00","-74.40","270.80"
"BX20-008","100.00","-73.80","271.60"
"BX20-008","150.00","-73.20","272.40"
"BX20-008","158.00","-72.60","273.20"
"BX20-009","0.00","-90.00","0.00"
"BX20-009","50.00","-89.40","0.80"
"BX20-009","100.00","-88.80","1.60"
"BX20-009","150.00","-88.20","2.40"
"BX20-009","200.00","-87.60","3.20"
"BX20-009","239.00","-87.00","4.00"
"BX20-010","0.00","-75.00","0.00"
"BX20-010","50.00","-74.40","0.80"
"BX20-010","100.00","-73.80","1.60"
"BX20-010","150.00","-73.20","2.40"
"BX20-010","200.00","-72.60","3.20"
"BX20-010","248.00","-72.00","4.00"
"BX20-011","0.00","-65.00","270.00"
"BX20-011","50.00","-64.40","270.80"
"BX20-011","100.00","-63.80","271.60"
"BX20-011","150.00","-63.20","272.40"
"BX20-011","200.00","-62.60","273.20"
"BX20-011","229.00","-62.00","274.00"
"BX20-012","0.00","-75.00","90.00"
"BX20-012","50.00","-74.40","90.80"
"BX20-012","100.00","-73.80","91.60"
"BX20-012","150.00","-73.20","92.40"
"BX20-012","200.00","-72.60","93.20"
"BX20-012","246.00","-72.00","94.00"
"BX20-013","0.00","-75.00","0.00"
"BX20-013","50.00","-74.40","0.80"
"BX20-013","100.00","-73.80","1.60"
"BX20-013","150.00","-73.20","2.40"
"BX20-013","200.00","-72.60","3.20"
"BX20-013","250.00","-72.00","4.00"
"BX20-013","300.00","-71.40","4.80"
"BX20-014","0.00","-65.00","90.00"
"BX20-014","50.00","-64.40","90.80"
"BX20-014","100.00","-63.80","91.60"
"BX20-014","150.00","-63.20","92.40"
"BX20-014","200.00","-62.60","93.20"
"BX20-014","250.00","-62.00","94.00"
"BX20-014","287.00","-61.40","94.80"
"BX20-015","0.00","-75.00","270.00"
