HoleID,Easting,Northing,Elevation,Length_m,HoleType,Prospect,Year
BX20-001,10135.47,20121.46,455.11,268.0,DD,MAIN,2020
BX20-002,10158.26,20122.63,454.40,128.0,DD,MAIN,2021
BX20-003,10191.03,20117.66,453.49,281.0,DD,MAIN,2022
BX20-004,10244.87,20115.49,451.66,235.0,DD,MAIN,2023
BX20-005,10283.04,20131.66,449.77,270.0,DD,MAIN,2024
BX20-006,10322.27,20125.43,448.41,312.0,DD,MAIN,2020
BX20-007,10359.69,20110.22,447.35,187.0,DD,NORTH,2021
BX20-008,10405.28,20114.47,445.41,319.0,DD,NORTH,2022
BX20-009,10424.54,20121.16,444.46,301.0,DD,NORTH,2023
BX20-010,10481.22,20120.26,442.31,227.0,DD,NORTH,2024
BX20-011,10121.08,20170.20,454.20,208.0,DD,MAIN,2020
BX20-012,10155.14,20168.28,453.27,207.0,DD,MAIN,2021
BX20-013,10196.95,20178.09,451.68,172.0,DD,MAIN,2022
BX20-014,10242.83,20162.65,450.45,298.0,DD,MAIN,2023
BX20-015,10286.66,20181.06,448.34,163.0,DD,MAIN,2024
BX20-016,10323.51,20181.00,446.90,201.0,DD,MAIN,2020
BX20-017,10345.20,20181.66,446.02,197.0,DD,NORTH,2021
BX20-018,10399.90,20165.25,444.25,268.0,DD,NORTH,2022
BX20-019,10434.21,20177.94,442.58,174.0,DD,NORTH,2023
BX20-020,10486.76,20174.15,440.67,156.0,DD,NORTH,2024
BX21-021,10127.00,20233.56,452.59,312.0,DD,MAIN,2020
BX21-022,10160.82,20223.90,451.80,142.0,DD,MAIN,2021
BX21-023,10194.47,20218.15,450.84,133.0,DD,MAIN,2022
BX21-024,10252.45,20231.66,448.50,228.0,DD,MAIN,2023
BX21-025,10274.02,20232.69,447.66,129.0,DD,MAIN,2024
BX21-026,10327.01,20234.65,445.56,194.0,DD,MAIN,2020
BX21-027,10360.51,20229.35,444.33,295.0,DD,NORTH,2021
BX21-028,10409.26,20230.29,442.37,265.0,DD,NORTH,2022
BX21-029,10438.04,20237.19,441.10,294.0,DD,NORTH,2023
BX21-030,10478.75,20233.52,439.62,261.0,DD,NORTH,2024
BX21-031,10112.97,20287.08,452.02,184.0,DD,MAIN,2020
BX21-032,10165.28,20283.74,450.56,293.0,DD,MAIN,2021
BX21-033,10194.30,20298.57,449.40,228.0,DD,MAIN,2022
BX21-034,10227.86,20281.33,448.49,154.0,DD,MAIN,2023
BX21-035,10270.15,20289.49,446.81,197.0,DD,MAIN,2024
BX21-036,10323.27,20285.86,444.80,176.0,DD,MAIN,2020
BX21-037,10356.71,20285.66,443.47,305.0,DD,NORTH,2021
BX21-038,10402.12,20283.01,441.70,200.0,DD,NORTH,2022
BX21-039,10443.46,20291.04,439.95,200.0,DD,NORTH,2023
BX21-040,10481.10,20282.32,438.66,201.0,DD,NORTH,2024
BX22-041,10116.35,20335.18,451.33,127.0,DD,MAIN,2020
BX22-042,10154.71,20348.36,450.11,314.0,DD,MAIN,2021
BX22-043,10191.92,20350.40,448.91,232.0,DD,MAIN,2022
BX22-044,10240.68,20351.54,447.19,269.0,DD,MAIN,2023
BX22-045,10274.45,20340.41,446.03,241.0,DD,MAIN,2024
BX22-046,10329.14,20340.52,443.89,302.0,DD,MAIN,2020
BX22-047,10361.46,20339.94,442.61,228.0,DD,NORTH,2021
BX22-048,10406.16,20346.23,440.77,230.0,DD,NORTH,2022
BX22-049,10447.90,20336.32,439.23,264.0,DD,NORTH,2023
BX22-050,10483.14,20341.03,437.85,224.0,DD,NORTH,2024
BX22-051,10109.39,20395.73,451.13,205.0,DD,MAIN,2020
BX22-052,10163.68,20389.21,449.59,224.0,DD,MAIN,2021
BX22-053,10198.78,20399.77,448.42,223.0,DD,MAIN,2022
BX22-054,10235.14,20401.82,447.14,141.0,DD,MAIN,2023
BX22-055,10275.94,20394.22,445.64,227.0,DD,MAIN,2024
BX22-056,10310.78,20383.83,444.32,189.0,DD,MAIN,2020
BX22-057,10344.73,20391.43,442.95,191.0,DD,NORTH,2021
BX22-058,10392.98,20410.32,440.98,151.0,DD,NORTH,2022
BX22-059,10449.05,20406.86,438.78,153.0,DD,NORTH,2023
BX22-060,10484.05,20382.79,437.53,248.0,DD,NORTH,2024
