holeid,from,to,Code
BX20-001,0.00,30.59,VOLC
BX20-001,30.59,42.31,VOLC
BX20-001,42.31,76.35,BZTF
BX20-001,76.35,87.51,BZPZ
BX20-001,87.51,102.60,BZPZ
BX20-001,102.60,119.59,TSBF
BX20-001,119.59,151.06,TSBF
BX20-001,151.06,168.02,TSBF
BX20-001,168.02,203.02,MDST
BX20-001,203.02,228.85,SDST
BX20-001,228.85,244.57,DIOR
BX20-001,244.57,268.00,MDST
BX20-002,0.00,9.33,BZTF
BX20-002,9.33,19.40,BZPZ
BX20-002,19.40,48.14,BZTF
BX20-002,48.14,76.98,BZTF
BX20-002,76.98,109.03,MDST
BX20-002,109.03,120.33,TSBF
BX20-002,120.33,128.00,BZTF
BX20-003,0.00,11.44,VOLC
BX20-003,11.44,27.73,BZPZ
BX20-003,27.73,38.75,BZTF
BX20-003,38.75,68.68,VOLC
BX20-003,68.68,98.79,BZPZ
BX20-003,98.79,130.07,TSBF
BX20-003,130.07,154.82,TSBF
BX20-003,154.82,174.40,BZTF
BX20-003,174.40,208.13,DIOR
BX20-003,208.13,243.09,BZTF
BX20-003,243.09,274.13,SDST
BX20-003,274.13,281.00,TSBF
BX20-004,0.00,20.06,BZPZ
BX20-004,20.06,47.07,BZPZ
BX20-004,47.07,55.26,BZPZ
BX20-004,55.26,70.97,VOLC
BX20-004,70.97,105.24,BZTF
BX20-004,105.24,134.00,SDST
BX20-004,134.00,154.73,MDST
BX20-004,154.73,165.78,MDST
BX20-004,165.78,177.25,TSBF
BX20-004,177.25,189.32,SDST
BX20-004,189.32,222.31,MDST
BX20-004,222.31,235.00,TSBF
BX20-005,0.00,14.04,VOLC
BX20-005,14.04,44.34,VOLC
BX20-005,44.34,77.02,BZTF
BX20-005,77.02,88.18,QFP
BX20-005,88.18,97.42,QFP
BX20-005,97.42,118.42,DIOR
BX20-005,118.42,129.42,QFP
BX20-005,129.42,152.47,QFP
BX20-005,152.47,168.37,BZTF
BX20-005,168.37,183.89,DIOR
BX20-005,183.89,195.79,DIOR
BX20-005,195.79,214.16,DIOR
BX20-005,214.16,222.85,DIOR
BX20-005,222.85,251.71,DIOR
BX20-005,251.71,261.14,DIOR
BX20-005,261.14,270.00,DIOR
BX20-006,0.00,25.52,VOLC
BX20-006,25.52,47.22,VOLC
BX20-006,47.22,60.42,BZTF
BX20-006,60.42,95.19,VOLC
BX20-006,95.19,110.60,BZTF
BX20-006,110.60,132.22,BZTF
BX20-006,132.22,148.40,QFP
BX20-006,148.40,182.13,QFP
BX20-006,182.13,198.16,DIOR
BX20-006,198.16,226.07,DIOR
BX20-006,226.07,248.37,QFP
BX20-006,248.37,277.80,QFP
BX20-006,277.80,296.79,QFP
BX20-006,296.79,312.00,BZTF
BX20-007,0.00,25.17,DIOR
BX20-007,25.17,59.76,BZTF
BX20-007,59.76,87.13,VOLC
BX20-007,87.13,99.11,BZPZ
BX20-007,99.11,130.17,TSBF
BX20-007,130.17,146.01,TSBF
BX20-007,146.01,164.51,SDST
BX20-007,164.51,180.15,TSBF
BX20-007,180.15,187.00,MDST
BX20-009,0.00,34.10,BZPZ
BX20-009,34.10,55.04,VOLC
BX20-009,55.04,71.56,VOLC
BX20-009,71.56,82.23,BZPZ
BX20-009,82.23,110.20,DIOR
BX20-009,110.20,121.30,BZTF
BX20-009,121.30,136.44,DIOR
BX20-009,136.44,163.42,QFP
BX20-009,163.42,180.83,MDST
BX20-009,180.83,196.39,TSBF
BX20-009,196.39,227.19,TSBF
BX20-009,227.19,248.41,MDST
BX20-009,248.41,263.36,MDST
BX20-009,263.36,280.33,TSBF
BX20-009,280.33,299.05,BZPZ
BX20-009,299.05,301.00,MDST
BX20-010,0.00,11.90,VOLC
BX20-010,11.90,45.92,BZTF
BX20-010,45.92,54.21,BZPZ
BX20-010,54.21,64.02,BZTF
BX20-010,64.02,90.35,VOLC
BX20-010,90.35,100.16,VOLC
BX20-010,100.16,129.10,BZTF
BX20-010,129.10,155.40,BZPZ
BX20-010,155.40,165.63,QFP
BX20-010,165.63,192.18,SDST
BX20-010,192.18,215.40,MDST
BX20-010,215.40,227.00,SDST
BX20-011,0.00,13.09,BZTF
BX20-011,13.09,39.73,BZPZ
BX20-011,39.73,65.47,BZTF
BX20-011,65.47,73.82,VOLC
BX20-011,73.82,99.63,BZTF
BX20-011,99.63,120.32,SDST
BX20-011,120.32,136.48,SDST
