HoleID,From_m,To_m,Zn_pct,Pb_pct,Ag_ppm,BD_tonnes_m3,LowRecovery_<=85pct
BX20-001,0.00,1.00,0.993,0.452,7.3,2.637,N
BX20-001,1.00,2.00,0.742,0.373,6.6,2.700,N
BX20-001,2.00,3.00,0.773,0.254,10.4,2.634,N
BX20-001,3.00,4.00,0.375,0.183,3.9,2.611,N
BX20-001,4.00,6.00,1.049,0.431,3.7,2.697,N
BX20-001,6.00,8.00,1.074,0.312,5.9,2.705,N
BX20-001,8.00,9.00,0.910,0.458,3.9,2.667,N
BX20-001,9.00,10.00,0.305,0.010,0.5,2.618,Y
BX20-001,10.00,11.00,0.723,0.302,3.0,2.662,N
BX20-001,11.00,12.00,0.841,0.467,2.1,2.678,N
BX20-001,12.00,14.00,0.682,0.187,4.9,2.634,N
BX20-001,14.00,15.50,0.020,0.095,0.5,2.624,N
BX20-001,15.50,17.00,0.381,0.240,3.7,2.637,N
BX20-001,17.00,18.00,0.709,0.471,3.6,2.694,N
BX20-001,18.00,20.00,1.197,0.452,7.9,2.659,N
BX20-001,20.00,22.00,0.020,0.058,0.5,2.565,N
BX20-001,22.00,23.50,0.619,0.130,5.3,2.667,N
BX20-001,23.50,24.50,0.324,0.150,0.5,2.644,N
BX20-001,24.50,26.00,0.340,0.010,4.6,2.711,N
BX20-001,26.00,27.50,0.656,0.282,6.6,2.697,N
BX20-001,27.50,29.50,0.020,0.010,0.9,2.634,N
BX20-001,29.50,31.50,0.527,0.059,4.6,2.641,N
BX20-001,31.50,33.50,1.049,0.388,7.7,2.635,N
BX20-001,33.50,35.00,0.609,0.057,3.7,2.664,N
BX20-001,35.00,36.50,0.594,0.321,3.6,2.630,N
BX20-001,36.50,38.50,0.528,0.010,1.1,2.639,N
BX20-001,38.50,39.50,1.160,0.419,6.6,2.669,N
BX20-001,39.50,40.50,0.355,0.207,0.5,2.682,N
BX20-001,40.50,42.50,0.338,0.094,0.5,2.630,Y
BX20-001,42.50,43.50,0.020,0.084,0.5,2.617,N
BX20-001,43.50,44.50,0.020,0.010,0.5,2.691,Y
BX20-001,44.50,45.50,0.738,0.489,4.5,2.668,N
