"HoleID","Depth_m","Dip","Azimuth"
"BX20-001","0.00","-75.00","270.00"
"BX20-001","50.00","-74.40","270.80"
"BX20-001","100.00","-73.80","271.60"
"BX20-001","150.00","-73.20","272.40"
"BX20-001","200.00","-72.60","273.20"
"BX20-001","250.00","-72.00","274.00"
"BX20-001","268.00","-71.40","274.80"
"BX20-002","0.00","-75.00","0.00"
"BX20-002","50.00","-74.40","0.80"
"BX20-002","100.00","-73.80","1.60"
"BX20-002","128.00","-73.20","2.40"
"BX20-003","0.00","-60.00","90.00"
"BX20-003","50.00","-59.40","90.80"
"BX20-003","100.00","-58.80","91.60"
"BX20-003","150.00","-58.20","92.40"
"BX20-003","200.00","-57.60","93.20"
"BX20-003","250.00","-57.00","94.00"
"BX20-003","281.00","-56.40","94.80"
"BX20-004","0.00","-90.00","0.00"
"BX20-004","50.00","-89.40","0.80"
"BX20-004","100.00","-88.80","1.60"
"BX20-004","150.00","-88.20","2.40"
"BX20-004","200.00","-87.60","3.20"
"BX20-004","235.00","-87.00","4.00"
"BX20-005","0.00","-60.00","0.00"
"BX20-005","50.00","-59.40","0.80"
"BX20-005","100.00","-58.80","1.60"
"BX20-005","150.00","-58.20","2.40"
"BX20-005","200.00","-57.60","3.20"
"BX20-005","250.00","-57.00","4.00"
"BX20-005","270.00","-56.40","4.80"
"BX20-006","0.00","-60.00","0.00"
"BX20-006","50.00","-59.40","0.80"
"BX20-006","100.00","-58.80","1.60"
"BX20-006","150.00","-58.20","2.40"
"BX20-006","200.00","-57.60","3.20"
"BX20-006","250.00","-57.00","4.00"
"BX20-006","300.00","-56.40","4.80"
"BX20-006","312.00","-55.80","5.60"
"BX20-007","0.00","-90.00","0.00"
"BX20-007","50.00","-89.40","0.80"
"BX20-007","100.00","-88.80","1.60"
"BX20-007","150.00","-88.20","2.40"
"BX20-007","187.00","-87.60","3.20"
"BX20-008","0.00","-60.00","270.00"
"BX20-008","50.00","-59.40","270.80"
