X,Y,Z,DX,DY,DZ,ROCKTYPE,WEATHERING,CLASS,ZN_PCT,AG_GPT,DENSITY,PERIOD
10060.0,20060.0,120.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.152,0.91,2.629,
10060.0,20060.0,130.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.089,0.54,2.625,
10060.0,20060.0,140.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.135,0.81,2.628,
10060.0,20060.0,150.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,160.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.156,0.93,2.629,
10060.0,20060.0,170.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,180.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,190.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.327,1.96,2.640,
10060.0,20060.0,200.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.341,2.05,2.640,
10060.0,20060.0,210.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,220.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,230.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.319,1.91,2.639,
10060.0,20060.0,240.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.154,0.92,2.629,
10060.0,20060.0,250.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.214,1.28,2.633,
10060.0,20060.0,260.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,270.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,280.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.103,0.62,2.626,
10060.0,20060.0,290.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,300.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.142,0.85,2.629,
10060.0,20060.0,310.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,320.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,330.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,340.0,20.0,20.0,10.0,SEDIMENT,FRESH,INDICATED,0.435,2.61,2.646,
10060.0,20060.0,350.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,360.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,370.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.272,1.63,2.636,
10060.0,20060.0,380.0,20.0,20.0,10.0,VOLCANIC,FRESH,INDICATED,0.020,0.12,2.621,
10060.0,20060.0,390.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.025,0.15,2.622,
10060.0,20060.0,400.0,20.0,20.0,10.0,VOLCANIC,TRANSITION,INDICATED,0.020,0.12,2.621,
