hole_id,availability,core_diameter_mm,remaining_fraction,notes
BX20-001,DISPOSED,,,core disposed
BX20-002,IN STORAGE,63.5,0.5,
BX20-003,IN STORAGE,63.5,0.5,
BX20-004,IN STORAGE,63.5,0.5,
BX20-005,IN STORAGE,63.5,0.5,
BX20-006,IN STORAGE,63.5,0.5,
BX20-007,IN STORAGE,85.0,0.5,
BX20-008,IN STORAGE,85.0,0.5,
BX20-009,IN STORAGE,63.5,0.5,
BX20-010,IN STORAGE,47.6,0.5,
BX20-011,IN STORAGE,63.5,0.5,
BX20-012,DISPOSED,,,core disposed
BX20-013,IN STORAGE,85.0,0.5,
BX20-014,IN STORAGE,85.0,0.5,
BX20-015,IN STORAGE,47.6,0.5,
BX20-016,IN STORAGE,85.0,0.5,
BX20-017,IN STORAGE,63.5,0.5,
BX20-018,IN STORAGE,63.5,0.5,
BX20-019,IN STORAGE,63.5,0.5,
BX20-020,IN STORAGE,63.5,0.5,
BX21-021,IN STORAGE,63.5,0.5,
BX21-022,IN STORAGE,63.5,0.5,
BX21-023,DISPOSED,,,core disposed
BX21-024,IN STORAGE,63.5,0.5,
BX21-025,IN STORAGE,63.5,0.5,
BX21-026,IN STORAGE,63.5,0.5,
BX21-027,IN STORAGE,47.6,0.5,
BX21-028,IN STORAGE,63.5,0.5,
BX21-029,IN STORAGE,85.0,0.5,
BX21-030,IN STORAGE,63.5,0.5,
BX21-031,IN STORAGE,85.0,0.5,
BX21-032,IN STORAGE,63.5,0.5,
BX21-033,IN STORAGE,63.5,0.5,
BX21-034,DISPOSED,,,core disposed
BX21-035,IN STORAGE,47.6,0.5,
BX21-036,IN STORAGE,63.5,0.5,
BX21-037,IN STORAGE,63.5,0.5,
BX21-038,IN STORAGE,63.5,0.5,
BX21-039,IN STORAGE,47.6,0.5,
BX21-040,IN STORAGE,85.0,0.5,
BX22-041,IN STORAGE,63.5,0.5,
BX22-042,IN STORAGE,47.6,0.5,
BX22-043,IN STORAGE,85.0,0.5,
BX22-044,IN STORAGE,63.5,0.5,
BX22-045,DISPOSED,,,core disposed
BX22-046,IN STORAGE,85.0,0.5,
BX22-047,IN STORAGE,85.0,0.5,
BX22-048,IN STORAGE,63.5,0.5,
BX22-049,IN STORAGE,47.6,0.5,
BX22-050,IN STORAGE,63.5,0.5,
BX22-051,IN STORAGE,63.5,0.5,
BX22-052,IN STORAGE,63.5,0.5,
BX22-053,IN STORAGE,47.6,0.5,
BX22-054,IN STORAGE,63.5,0.5,
BX22-055,IN STORAGE,47.6,0.5,
BX22-056,DISPOSED,,,core disposed
BX22-057,IN STORAGE,63.5,0.5,
BX22-058,IN STORAGE,85.0,0.5,
BX22-059,IN STORAGE,63.5,0.5,
BX22-060,IN STORAGE,47.6,0.5,
